Text,Sentiment
['goodish dog food good digestion likewise good small puppy click eats ask amount every alimentation'],positive
['pleased lifelike counterpoise dog food dog issue dog food retiring someone recommend innate balance wheel metric grain free since potential allergic grain since switching issue also helpful different kibble size larger low sized dog'],positive
['educated feline nutrition allowed cat become addicted dry cat food constantly offered canned dry wish would fed premium character canned food limited ironical food two year sometime cat two year one time cat good quality dry food for thought eat wellness innova innova manufacturer recently purchased procter gamble began looking replacement offering several sample local holistic pet store holistic select unmatchable usual wellness innova would eat finicky cat recommend trying holistic select good quality nutrient palatable finicky eater'],positive
['holistic ex serviceman recommend along brand tried cat prefer especially sardine version best part coat soft clean eye unclouded want rude sound out delicately waste far le odorous computerized axial tomography eat mcdonalds junk found store definite plus health benefit obvious highly recommend holistic select'],positive
['buy coffee much cheaper ganocafe organic reishi mushroom well healthy antioxidant ask taste unspoiled in reality daytime totally worth sister carry ganocafe introducing le expensive similar coffee follow product week'],positive
['similar masses mentioned coffee great taste perception tried different inst coffee one one better i another one favorite need attempt though organic africafe pure instantaneous coffee'],positive
['good degustation light chip value nutriment everyone get munchies skilful alternative eating murphy chip'],positive
['grande point delicious fish ultimate flavor best ever purpose sent case mother lately diagnose diabetes love independent entree cooking cake'],positive
['ordered product two metre happy delivery product work great make baking substitute wampum chai caffe latte'],positive
['stuff nifty low glycemic reliever sugar body great favour size economical transportation fast got mine before long'],positive
['chip 1 found tasty level headed few fat calorie plus high fiber need good taste nutrition perfect portmanteau'],positive
['used buy local supermarket longer carried get hold amazon purchase loge found newly pleasant tasting remembered microprocessor chip also healthy definately buy'],positive
['feeding liver biscotti year looking healthy treat without additive epileptic dog additive seizure induction liver biscotti filled bill ingredient top quality bite size of it bit perfect training muck sac bite sizing portion also make possible give advantage without adding pound problem dainty dog wheat sensitivity anti allergenic recipe enthusiastically recommend'],positive
['got gf supposed eat gluten flavour taste great seem a great deal healthier regular potato chip looking gluten free bite highly recommend popchips'],positive
['destitute sample chip see swapping regular chip shot craving remind munchos le oily try'],positive
['tried saratoga chip hotel stayed loved consistent office everyone enjoyed second edict'],positive
['absolutely love pop chip healthy substitute even fatty fleck seat salt pepper turned cream onion favourite starve regular chip'],positive
['picked bag local heb couldnt avail consume half bag day intact stock didnt last place even week many chip say bold flavor never deliver however tried garlic parmessan chip first thing thought strong toothsome parmessan concisely followed garlic flavor combined sharp crunch decent chip almost afraid buy pack know last calendar month also help thing pretty healthy mean potato chip entirely guilt free knock going town avoid potato chip aisle need lay low snack food'],positive
['love chip always make great healthy bite stuck work vend auto victuals'],positive
['sun chip fine substitute usual potato indian corn any chip cooked oil salted closely un toothsome thought would added heart healthy diet regime good except multi grain way texture sheet of paper plywood'],positive
['chip really beneficial playfulness getting multifariousness pack good even chip probably besides nearly fattening bad regular chip consecrate healthier version want chip would highly urge'],positive
['tried bbq popchips first time loved got value pack try flavor loved except common salt pepper chip great good goodly snack without give appreciation glad strike salt acetum favorite cal old bag g avoirdupois bag'],positive
['see work family time sure disciplined enough make good use although might good technique teaching dog appear good tiny healthy advantage right visualize used reward following command training tool surprised tiny treat seem taste good enough miniscule fraction longer small paperclip half wide maybe thick dog little vexed strike gave yesterday today came excited get treat looked say got kidding took ate little afterwards offered another one put floor looked hopefully stash larger treat get one went back took one think might good reward obeying command treat stretching may also practiced son dog rarely get treat overweight would eat whole entire refrigerator full food allowed least would beget treat large delicacy take second probably inhale one second max like fact low fat tot salt refined sugar artificial flavor color preservative say treat baked natural peanut butter'],positive
['mom fry older two hard meter finding snack much sodium rd came along happyfamily introduced happymunchies grateful bump snack low sodium vegetable top organic know devoid pesticide residue gmos'],positive
['love infant intellectual nourishment thing little pouch sooooo much easier feed baby toddler go son love sucking fruit pleased organic hefty nothing added fruit smaller one good let handle love squeeze get thing everywhere older one feed like size rather bigger peerless plum organic flavor secure eat one sitting rather save later also hold size airplane without tested explosive example bigger pouch also like bpa free little i like enjoin bulk subscribe save make much cheaper stock'],positive
['love vitamuffins supermarket betray single box muffin instead bought mix box corner make muffin alternatively per muffin mix necessitate water system egg work centime per muffin easy make great pile'],positive
['generally same vitalicious production corn muffin well calorie bad expecting anything like sugar fat laden junk local bakery sell look elsewhere like healthy makeover quite reduce bad amount calorie chocolate one indulgence one good bland breakfast treat especially baked fresh minor happy get extra bite approve send school midmorning snack im beaming get fuel vitamin'],positive
['dog prone ear contagion lot paw chewing vet recommended changing diet symptom may due food allergy specifically recommended pink orange rice formula unfortunately dog hated salmon rice smelt extremely fishy tried lamb rice formula like much adept heard legion good thing health dog trainer well pet owner ducky store employee dog adjusting new intellectual nourishment well however tell consider tasty choice probably artificial flavoring quite eat something much healthier still sacrifice little taste'],positive
['length min dialect cooky great scout video see great really'],positive
['actually sojo strongly recommends meat add mix raw cooked choose frump arrived coccidia giardia puppy veterinary mismanagement never completely healthy 1st year life watching get sicker aggressive course antibiotic prednisone inflammatory bowel disease took holistic veterinarian part treatment homemade diet sojo meat plus medication extremely pleased report gi episode month reached point consider intelligent coat glossy much fluffier finally good weighting photo show dramatic improvement much credit sojo take extra time prepare opposed kibble make day worth clip take minute total includes time meat cooking cleaning completely honest thrilled cooking dog thrilled result able feed raw perchance road vet give ok cooking time would almost nothing'],positive
['also routine baking ingredient put bread along sunflower seed organic wheat flour also put smoothie stir fry dish anything think upright price really mustiness healthy dieting'],positive
['try on almond crunch delicious respectable collation better chip try agree'],positive
['use pulverise tea powder fruit smoothy provides health welfare immature afternoon tea erotic love product use plain lemon peppiness'],positive
['green tea near load up antioxidant boost metabolism yadda yadda yadda never quite a warmed taste lemon ginger kick in nice flavour enceinte add packet water bottle go without bother brewing'],positive
['eat lot cereal let in lot high fiber sort oatmeal mini frosted shredded wheat raisin bran usually eat require lose lb instance tried healthier option tried several kashi cereal appetizing plain unrivaled cardboard taste next tried grape nut like horrendous yeast flavored cat food though closer kitty litter texture brings fiberplus antioxidant berry yogurt crunch certainly one better tasting high fiber cereal eaten like decent wellness browning automatic rifle broken apart cereal cluster yoghurt really help even plain cereal decent enough yes g sugar per serving g fibre calorie part make especially compare raisin bran frosted shredded wheat typically higher sugar calorie even so lower dietary fiber antioxidant nice bonus bottom line add grocery list whenever sale price right'],positive
['know science diet refer junk food peerless higher quality food market lot new organic instinctive cat solid food healthy pet cracked regardless veterinarian want set yr old cat prescription food high count crystal urine comparison science diet mature adult active longevity closest prescription food cat younger one older food seem enjoy graze clarence shepard day jr. indoor cat try best overfeed younger cat issue urine since move food happy'],positive
['chocolate sandwich creme cookie whonu every bit delectable similar brand healthier true almost sugar fat carb amount best known name brand cooky others noted also give fiber noticeably vitamin mineral brand plus really good snack hard stop serving size trey biscuit guess permit occasional shamefaced pleasure write bit expensive web site try face cooky elsewhere unless want convenience shipped door overall awesome chocolate sandwich creme cooky whonu best definitely recommend excellent healthier alternative major name brand type cookie love em enjoy'],positive
['corresponding elf mix usually apply low fat recipe as well add chocolate chip something else otherwise end little bit wry even buy case'],positive
"[""brownie good flax seed grain genuine turn minimize added small whole wheat flour splenda cocoa big improvement guest ne'er complained corresponding first clock time pull in pixie""]",positive
['got first order twenty four hours ago month old daughter dear like gerber miniskirt veggie much cheaper although still cost good fleck nutritious fill easy payoff anyplace travel snack well worth daughter teeth however problem eating light fluffy yet full flavor'],positive
['sure speciality store area stopped carrying usually sold patty calorie crunchy good like cardboard taste thicker elmer reizenstein cake excellent base pebibyte watt second progress to opened face sandwich use patch like chip dip etc good price mob month expiration use date'],positive
