,Sentiment,Time,Text,Predicted Topic
0,positive,18/6/21,"['healthy', 'dog', 'food', 'good', 'digestion', 'good', 'small', 'puppy', 'dog', 'eats', 'required', 'feeding']","[('Coffee and Tea Taste and Quality', -0.1), ('Snacks and Food', 0.09), ('Coffee Roasting and Brewing', -0.05), ('Prices and Local Stores', 0.14), ('Snacks and Drinks', -0.04), ('Chips and Salty Snacks', 0.03), ('Dogs and Pet Food', -0.33)]"
1,positive,7/7/21,"['pleased', 'natural', 'balance', 'dog', 'food', 'dog', 'issue', 'dog', 'food', 'past', 'recommend', 'natural', 'balance', 'grain', 'free', 'possible', 'allergic', 'grain', 'switching', 'issue', 'helpful', 'different', 'kibble', 'size', 'sized', 'dog']","[('Coffee and Tea Taste and Quality', -0.1), ('Snacks and Food', 0.08), ('Coffee Roasting and Brewing', -0.05), ('Prices and Local Stores', 0.13), ('Snacks and Drinks', -0.06), ('Chips and Salty Snacks', 0.04), ('Dogs and Pet Food', -0.35)]"
2,positive,18/6/21,"['educated', 'feline', 'nutrition', 'allowed', 'cat', 'addicted', 'dry', 'cat', 'food', 'offered', 'canned', 'dry', 'wish', 'fed', 'premium', 'quality', 'canned', 'food', 'limited', 'dry', 'food', 'year', 'old', 'cat', 'year', 'old', 'cat', 'good', 'quality', 'dry', 'food', 'eat', 'wellness', 'innova', 'manufacturer', 'recently', 'purchased', 'began', 'looking', 'replacement', 'offering', 'sample', 'local', 'holistic', 'pet', 'store', 'holistic', 'select', 'usual', 'wellness', 'innova', 'eat', 'finicky', 'cat', 'recommend', 'trying', 'holistic', 'select', 'good', 'quality', 'food', 'palatable', 'finicky', 'eater']","[('Coffee and Tea Taste and Quality', -0.11), ('Snacks and Food', 0.08), ('Coffee Roasting and Brewing', -0.04), ('Prices and Local Stores', 0.13), ('Snacks and Drinks', -0.03), ('Chips and Salty Snacks', 0.01), ('Dogs and Pet Food', -0.2)]"
3,positive,7/7/21,"['holistic', 'vet', 'recommended', 'brand', 'tried', 'cat', 'prefer', 'especially', 'sardine', 'version', 'best', 'coat', 'soft', 'clean', 'eye', 'clear', 'want', 'rude', 'delicately', 'waste', 'far', 'odorous', 'cat', 'eat', 'mcdonalds', 'junk', 'store', 'definite', 'plus', 'health', 'benefit', 'obvious', 'highly', 'recommend', 'holistic', 'select']","[('Coffee and Tea Taste and Quality', -0.09), ('Snacks and Food', 0.03), ('Coffee Roasting and Brewing', -0.01), ('Prices and Local Stores', 0.05), ('Snacks and Drinks', -0.02), ('Chips and Salty Snacks', 0.0), ('Dogs and Pet Food', -0.07)]"
4,positive,1/7/21,"['bought', 'coffee', 'cheaper', 'ganocafe', 'organic', 'reishi', 'mushroom', 'healthy', 'antioxidant', 'expect', 'taste', 'good', 'actually', 'day', 'totally', 'worth', 'sister', 'ganocafe', 'introducing', 'expensive', 'similar', 'coffee', 'follow', 'product', 'week']","[('Coffee and Tea Taste and Quality', -0.12), ('Snacks and Food', -0.02), ('Coffee Roasting and Brewing', 0.12), ('Prices and Local Stores', 0.02), ('Snacks and Drinks', 0.01), ('Chips and Salty Snacks', 0.01), ('Dogs and Pet Food', -0.03)]"
5,positive,7/7/21,"['like', 'people', 'mentioned', 'coffee', 'great', 'taste', 'tried', 'different', 'instant', 'coffee', 'better', 'one', 'favorite', 'want', 'try', 'organic', 'africafe', 'pure', 'instant', 'coffee']","[('Coffee and Tea Taste and Quality', -0.21), ('Snacks and Food', -0.1), ('Coffee Roasting and Brewing', 0.31), ('Prices and Local Stores', -0.04), ('Snacks and Drinks', 0.05), ('Chips and Salty Snacks', -0.0), ('Dogs and Pet Food', -0.05)]"
6,positive,23/7/21,"['good', 'tasting', 'light', 'chip', 'value', 'nutrition', 'munchiesis', 'good', 'alternative', 'eating', 'potato', 'chip']","[('Coffee and Tea Taste and Quality', -0.12), ('Snacks and Food', 0.08), ('Coffee Roasting and Brewing', -0.04), ('Prices and Local Stores', -0.04), ('Snacks and Drinks', 0.11), ('Chips and Salty Snacks', -0.33), ('Dogs and Pet Food', 0.01)]"
7,positive,20/7/21,"['grande', 'item', 'delicious', 'fish', 'ultimate', 'flavor', 'best', 'purpose', 'sent', 'case', 'mother', 'recently', 'diagnosed', 'diabetes', 'love', 'main', 'entree', 'cooking', 'patty']","[('Coffee and Tea Taste and Quality', -0.07), ('Snacks and Food', 0.02), ('Coffee Roasting and Brewing', -0.01), ('Prices and Local Stores', 0.03), ('Snacks and Drinks', -0.0), ('Chips and Salty Snacks', -0.0), ('Dogs and Pet Food', 0.0)]"
8,positive,19/7/21,"['ordered', 'product', 'time', 'happy', 'delivery', 'product', 'work', 'great', 'cooking', 'baking', 'substitute', 'sugar', 'chai', 'latte']","[('Coffee and Tea Taste and Quality', -0.13), ('Snacks and Food', 0.04), ('Coffee Roasting and Brewing', -0.02), ('Prices and Local Stores', 0.05), ('Snacks and Drinks', -0.04), ('Chips and Salty Snacks', 0.05), ('Dogs and Pet Food', 0.06)]"
9,positive,18/6/21,"['stuff', 'great', 'low', 'glycemic', 'substitute', 'sugar', 'body', 'great', 'favor', 'size', 'economical', 'shipping', 'fast', 'got', 'soon']","[('Coffee and Tea Taste and Quality', -0.11), ('Snacks and Food', 0.03), ('Coffee Roasting and Brewing', -0.02), ('Prices and Local Stores', 0.0), ('Snacks and Drinks', -0.01), ('Chips and Salty Snacks', 0.05), ('Dogs and Pet Food', 0.04)]"
