,Sentiment,Time,Text,Predicted Topic
0,positive,18/6/21,"['healthy', 'dog', 'food', 'good', 'digestion', 'good', 'small', 'puppy', 'dog', 'eats', 'required', 'feeding']","[('Coffee and tea flavor', -0.098), ('Healthy and allergy-friendly snacks', 0.089), ('Coffee and its complements', -0.049), ('Locations and prices', 0.137), ('Snack/Protein Bars', -0.043), ('Flavoured cereal/nut/fruits bars', 0.026), ('Chocolate flavoured consumables and flavoured drinks', -0.334)]"
1,positive,7/7/21,"['pleased', 'natural', 'balance', 'dog', 'food', 'dog', 'issue', 'dog', 'food', 'past', 'recommend', 'natural', 'balance', 'grain', 'free', 'possible', 'allergic', 'grain', 'switching', 'issue', 'helpful', 'different', 'kibble', 'size', 'sized', 'dog']","[('Coffee and tea flavor', -0.101), ('Healthy and allergy-friendly snacks', 0.085), ('Coffee and its complements', -0.05), ('Locations and prices', 0.134), ('Snack/Protein Bars', -0.063), ('Flavoured cereal/nut/fruits bars', 0.037), ('Chocolate flavoured consumables and flavoured drinks', -0.35)]"
2,positive,18/6/21,"['educated', 'feline', 'nutrition', 'allowed', 'cat', 'addicted', 'dry', 'cat', 'food', 'offered', 'canned', 'dry', 'wish', 'fed', 'premium', 'quality', 'canned', 'food', 'limited', 'dry', 'food', 'year', 'old', 'cat', 'year', 'old', 'cat', 'good', 'quality', 'dry', 'food', 'eat', 'wellness', 'innova', 'manufacturer', 'recently', 'purchased', 'began', 'looking', 'replacement', 'offering', 'sample', 'local', 'holistic', 'pet', 'store', 'holistic', 'select', 'usual', 'wellness', 'innova', 'eat', 'finicky', 'cat', 'recommend', 'trying', 'holistic', 'select', 'good', 'quality', 'food', 'palatable', 'finicky', 'eater']","[('Coffee and tea flavor', -0.11), ('Healthy and allergy-friendly snacks', 0.076), ('Coffee and its complements', -0.037), ('Locations and prices', 0.128), ('Snack/Protein Bars', -0.031), ('Flavoured cereal/nut/fruits bars', 0.01), ('Chocolate flavoured consumables and flavoured drinks', -0.202)]"
3,positive,7/7/21,"['holistic', 'vet', 'recommended', 'brand', 'tried', 'cat', 'prefer', 'especially', 'sardine', 'version', 'best', 'coat', 'soft', 'clean', 'eye', 'clear', 'want', 'rude', 'delicately', 'waste', 'far', 'odorous', 'cat', 'eat', 'mcdonalds', 'junk', 'store', 'definite', 'plus', 'health', 'benefit', 'obvious', 'highly', 'recommend', 'holistic', 'select']","[('Coffee and tea flavor', -0.094), ('Healthy and allergy-friendly snacks', 0.03), ('Coffee and its complements', -0.009), ('Locations and prices', 0.049), ('Snack/Protein Bars', -0.018), ('Flavoured cereal/nut/fruits bars', 0.003), ('Chocolate flavoured consumables and flavoured drinks', -0.073)]"
4,positive,1/7/21,"['bought', 'coffee', 'cheaper', 'ganocafe', 'organic', 'reishi', 'mushroom', 'healthy', 'antioxidant', 'expect', 'taste', 'good', 'actually', 'day', 'totally', 'worth', 'sister', 'ganocafe', 'introducing', 'expensive', 'similar', 'coffee', 'follow', 'product', 'week']","[('Coffee and tea flavor', -0.123), ('Healthy and allergy-friendly snacks', -0.018), ('Coffee and its complements', 0.122), ('Locations and prices', 0.023), ('Snack/Protein Bars', 0.011), ('Flavoured cereal/nut/fruits bars', 0.013), ('Chocolate flavoured consumables and flavoured drinks', -0.027)]"
5,positive,7/7/21,"['like', 'people', 'mentioned', 'coffee', 'great', 'taste', 'tried', 'different', 'instant', 'coffee', 'better', 'one', 'favorite', 'want', 'try', 'organic', 'africafe', 'pure', 'instant', 'coffee']","[('Coffee and tea flavor', -0.21), ('Healthy and allergy-friendly snacks', -0.097), ('Coffee and its complements', 0.308), ('Locations and prices', -0.039), ('Snack/Protein Bars', 0.049), ('Flavoured cereal/nut/fruits bars', -0.003), ('Chocolate flavoured consumables and flavoured drinks', -0.046)]"
6,positive,23/7/21,"['good', 'tasting', 'light', 'chip', 'value', 'nutrition', 'munchiesis', 'good', 'alternative', 'eating', 'potato', 'chip']","[('Coffee and tea flavor', -0.118), ('Healthy and allergy-friendly snacks', 0.081), ('Coffee and its complements', -0.035), ('Locations and prices', -0.039), ('Snack/Protein Bars', 0.108), ('Flavoured cereal/nut/fruits bars', -0.328), ('Chocolate flavoured consumables and flavoured drinks', 0.014)]"
7,positive,20/7/21,"['grande', 'item', 'delicious', 'fish', 'ultimate', 'flavor', 'best', 'purpose', 'sent', 'case', 'mother', 'recently', 'diagnosed', 'diabetes', 'love', 'main', 'entree', 'cooking', 'patty']","[('Coffee and tea flavor', -0.07), ('Healthy and allergy-friendly snacks', 0.017), ('Coffee and its complements', -0.007), ('Locations and prices', 0.028), ('Snack/Protein Bars', -0.001), ('Flavoured cereal/nut/fruits bars', -0.005), ('Chocolate flavoured consumables and flavoured drinks', 0.003)]"
8,positive,19/7/21,"['ordered', 'product', 'time', 'happy', 'delivery', 'product', 'work', 'great', 'cooking', 'baking', 'substitute', 'sugar', 'chai', 'latte']","[('Coffee and tea flavor', -0.134), ('Healthy and allergy-friendly snacks', 0.036), ('Coffee and its complements', -0.022), ('Locations and prices', 0.049), ('Snack/Protein Bars', -0.044), ('Flavoured cereal/nut/fruits bars', 0.049), ('Chocolate flavoured consumables and flavoured drinks', 0.056)]"
9,positive,18/6/21,"['stuff', 'great', 'low', 'glycemic', 'substitute', 'sugar', 'body', 'great', 'favor', 'size', 'economical', 'shipping', 'fast', 'got', 'soon']","[('Coffee and tea flavor', -0.113), ('Healthy and allergy-friendly snacks', 0.035), ('Coffee and its complements', -0.015), ('Locations and prices', 0.005), ('Snack/Protein Bars', -0.013), ('Flavoured cereal/nut/fruits bars', 0.045), ('Chocolate flavoured consumables and flavoured drinks', 0.045)]"
10,positive,7/7/21,"['chip', 'one', 'tasty', 'healthy', 'fewer', 'fat', 'calorie', 'plus', 'higher', 'fiber', 'want', 'good', 'taste', 'nutritionthe', 'perfect', 'blend']","[('Coffee and tea flavor', -0.134), ('Healthy and allergy-friendly snacks', 0.08), ('Coffee and its complements', -0.036), ('Locations and prices', -0.088), ('Snack/Protein Bars', 0.114), ('Flavoured cereal/nut/fruits bars', -0.127), ('Chocolate flavoured consumables and flavoured drinks', -0.013)]"
11,positive,27/6/21,"['buy', 'local', 'supermarket', 'longer', 'carried', 'finding', 'amazon', 'purchased', 'box', 'fresh', 'delicious', 'remembered', 'chip', 'healthy', 'definately', 'buy']","[('Coffee and tea flavor', -0.139), ('Healthy and allergy-friendly snacks', 0.067), ('Coffee and its complements', -0.017), ('Locations and prices', 0.11), ('Snack/Protein Bars', 0.071), ('Flavoured cereal/nut/fruits bars', -0.123), ('Chocolate flavoured consumables and flavoured drinks', 0.085)]"
12,positive,21/7/21,"['feeding', 'liver', 'biscotti', 'year', 'looking', 'healthy', 'treat', 'additive', 'epileptic', 'dog', 'additive', 'seizure', 'trigger', 'liver', 'biscotti', 'filled', 'ingredient', 'bit', 'perfect', 'training', 'muck', 'pocket', 'portion', 'possible', 'reward', 'adding', 'pound', 'problem', 'treat', 'dog', 'wheat', 'sensitivity', 'recipe', 'enthusiastically', 'recommended']","[('Coffee and tea flavor', -0.068), ('Healthy and allergy-friendly snacks', 0.051), ('Coffee and its complements', -0.028), ('Locations and prices', 0.049), ('Snack/Protein Bars', -0.018), ('Flavoured cereal/nut/fruits bars', 0.006), ('Chocolate flavoured consumables and flavoured drinks', -0.177)]"
13,positive,18/6/21,"['got', 'gf', 'supposed', 'eat', 'gluten', 'flavor', 'taste', 'great', 'healthier', 'regular', 'potato', 'chip', 'looking', 'snack', 'highly', 'recommend', 'popchips']","[('Coffee and tea flavor', -0.18), ('Healthy and allergy-friendly snacks', 0.102), ('Coffee and its complements', -0.053), ('Locations and prices', -0.055), ('Snack/Protein Bars', 0.135), ('Flavoured cereal/nut/fruits bars', -0.202), ('Chocolate flavoured consumables and flavoured drinks', -0.025)]"
14,positive,7/7/21,"['free', 'sampling', 'chip', 'swapping', 'regular', 'chip', 'craving', 'remind', 'munchos', 'greasy', 'try']","[('Coffee and tea flavor', -0.064), ('Healthy and allergy-friendly snacks', 0.057), ('Coffee and its complements', -0.033), ('Locations and prices', -0.031), ('Snack/Protein Bars', 0.086), ('Flavoured cereal/nut/fruits bars', -0.271), ('Chocolate flavoured consumables and flavoured drinks', 0.007)]"
15,positive,30/6/21,"['tried', 'chip', 'hotel', 'stayed', 'loved', 'ordered', 'office', 'enjoyed', 'second', 'order']","[('Coffee and tea flavor', -0.088), ('Healthy and allergy-friendly snacks', 0.029), ('Coffee and its complements', -0.002), ('Locations and prices', 0.014), ('Snack/Protein Bars', 0.04), ('Flavoured cereal/nut/fruits bars', -0.176), ('Chocolate flavoured consumables and flavoured drinks', 0.026)]"
16,positive,1/7/21,"['absolutely', 'love', 'pop', 'chip', 'healthy', 'alternative', 'regular', 'fatty', 'chip', 'seat', 'salt', 'pepper', 'sour', 'cream', 'onion', 'favorite', 'crave', 'regular', 'chip']","[('Coffee and tea flavor', -0.121), ('Healthy and allergy-friendly snacks', 0.087), ('Coffee and its complements', -0.051), ('Locations and prices', -0.044), ('Snack/Protein Bars', 0.103), ('Flavoured cereal/nut/fruits bars', -0.407), ('Chocolate flavoured consumables and flavoured drinks', 0.004)]"
