Sentiment,Time,Text
positive,10/4/2023,i recently purchased this pet bed for my dog and he absolutely loves it the bed is soft comfortable and easy to clean it is also really durable and has held up well after multiple washes i highly recommend this product to any pet owner
positive,6/4/2023,i have to say i was a bit skeptical about this pet toy at first but it is quickly become my favorite toy it is really and durable and it keeps my dog entertained for hours on end i would definitely recommend this product to anyone looking for a fun and engaging pet toy
positive,2/4/2023,i am really impressed with this pet food it is made with ingredients and my cat absolutely loves it it is also really affordable compared to other premium pet foods on the market i would definitely recommend this product to any pet owner looking for a nutritious and delicious food for their pet
positive,1/4/2023,i am really happy with this pet carrier it is spacious comfortable and easy to carry around it is also really and durable so i know it will last for a long time i would definitely recommend this product to anyone looking for a pet carrier
positive,4/2/2023,i love this pet leash it is really and durable and the reflective material makes it easy to see in low light conditions it is also really comfortable to hold and does not rub against my skin like some other leashes do i would definitely recommend this product to any pet owner
negative,5/2/2023,i would not recommend this pet food bowl to anyone it is made of cheap plastic and it is really flimsy it also does not hold very much food so i have to refill it constantly i would recommend investing in a bowl instead
negative,6/2/2023,i was really disappointed with this pet food it had a weird smell and my dog would not eat it i ended up having to throw it away and buy a different brand i would not recommend this product to anyone
negative,7/2/2023,this pet toy looked really cute but it was a total waste of money it fell apart after just a few minutes of play and my dog could have easily swallowed some of the pieces i would not recommend this product to any pet owner
negative,8/2/2023,i was really excited to try out this pet grooming tool but it was a huge disappointment it did not do a good job of removing loose fur from my coat and it was really uncomfortable to use i would not recommend this product to anyone
negative,10/2/2023,this pet carrier was a nightmare to use it was really hard to set up and my cat hated being inside it the straps were also really uncomfortable to wear and the carrier felt really flimsy i would not recommend this product to any pet owner
